Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,11517.759766,11544.309570,11480.490234,11505.389648,11505.389648,69949900
2019-02-26,11446.290039,11556.870117,11441.870117,11540.790039,11540.790039,74034400
2019-02-27,11493.809570,11521.219727,11442.969727,11487.330078,11487.330078,84265200
2019-02-28,11430.799805,11524.990234,11416.080078,11515.639648,11515.639648,84129900
2019-03-01,11584.240234,11676.860352,11583.080078,11601.679688,11601.679688,72715100
2019-03-04,11646.209961,11650.440430,11591.740234,11592.660156,11592.660156,58412600
2019-03-05,11570.969727,11627.780273,11551.450195,11620.740234,11620.740234,63643000
2019-03-06,11593.209961,11652.769531,11565.219727,11587.629883,11587.629883,65204400
2019-03-07,11546.419922,11612.950195,11452.860352,11517.799805,11517.799805,99533100
2019-03-08,11429.769531,11475.549805,11405.209961,11457.839844,11457.839844,81946100
2019-03-11,11497.980469,11550.589844,11462.900391,11543.480469,11543.480469,71575600
2019-03-12,11612.459961,11618.730469,11499.469727,11524.169922,11524.169922,87365300
2019-03-13,11499.320313,11586.900391,11486.740234,11572.410156,11572.410156,78369100
2019-03-14,11573.419922,11635.759766,11541.099609,11587.469727,11587.469727,87594200
2019-03-15,11608.669922,11725.660156,11575.330078,11685.690430,11685.690430,187987500
2019-03-18,11685.540039,11712.360352,11635.879883,11657.059570,11657.059570,91113700
2019-03-19,11672.759766,11823.290039,11652.019531,11788.410156,11788.410156,81542500
2019-03-20,11704.440430,11721.410156,11596.200195,11603.889648,11603.889648,100826500
2019-03-21,11566.870117,11582.540039,11467.790039,11549.959961,11549.959961,91619300
2019-03-22,11578.389648,11623.969727,11356.490234,11364.169922,11364.169922,112187500
2019-03-25,11323.200195,11392.000000,11312.540039,11346.650391,11346.650391,75056300
2019-03-26,11374.179688,11447.129883,11299.799805,11419.480469,11419.480469,79984300
2019-03-27,11439.019531,11502.349609,11368.129883,11419.040039,11419.040039,102107000
2019-03-28,11422.160156,11494.150391,11414.660156,11428.160156,11428.160156,89405300
2019-03-29,11492.089844,11549.419922,11442.120117,11526.040039,11526.040039,89325500
2019-04-01,11617.179688,11706.639648,11612.700195,11681.990234,11681.990234,96979200
2019-04-02,11703.240234,11777.650391,11659.150391,11754.790039,11754.790039,77384300
2019-04-03,11855.400391,11961.360352,11854.209961,11954.400391,11954.400391,93396300
2019-04-04,11924.610352,12029.259766,11916.570313,11988.009766,11988.009766,77816900
2019-04-05,11993.219727,12024.230469,11967.700195,12009.750000,12009.750000,72712300
2019-04-08,11979.730469,11989.589844,11948.259766,11963.400391,11963.400391,63676500
2019-04-09,11927.009766,11988.530273,11850.570313,11850.570313,11850.570313,65890100
2019-04-10,11864.459961,11937.110352,11863.799805,11905.910156,11905.910156,68624100
2019-04-11,11914.509766,11963.429688,11846.599609,11935.200195,11935.200195,78550400
2019-04-12,11912.580078,12031.150391,11889.990234,11999.929688,11999.929688,92887200
2019-04-15,12011.110352,12029.980469,11983.330078,12020.280273,12020.280273,65121600
2019-04-16,12026.740234,12116.250000,12025.660156,12101.320313,12101.320313,83377900
2019-04-17,12100.440430,12195.000000,12086.889648,12153.070313,12153.070313,102282300
2019-04-18,12138.139648,12243.629883,12100.000000,12222.389648,12222.389648,108852300
2019-04-23,12224.320313,12251.809570,12182.980469,12235.509766,12235.509766,77350700
2019-04-24,12232.990234,12349.830078,12223.980469,12313.160156,12313.160156,106440300
2019-04-25,12304.530273,12321.790039,12236.139648,12282.599609,12282.599609,96274900
2019-04-26,12284.459961,12323.639648,12259.759766,12315.179688,12315.179688,90044700
2019-04-29,12308.980469,12376.059570,12266.339844,12328.019531,12328.019531,70678500
2019-04-30,12313.969727,12345.309570,12281.719727,12344.080078,12344.080078,82443700
2019-05-02,12349.099609,12402.870117,12303.959961,12345.419922,12345.419922,96355900
2019-05-03,12345.320313,12435.669922,12344.230469,12412.750000,12412.750000,79121200
2019-05-06,12171.900391,12298.660156,12135.419922,12286.879883,12286.879883,88426500
2019-05-07,12298.709961,12319.049805,12056.799805,12092.740234,12092.740234,109809200
2019-05-08,12110.870117,12208.480469,12063.740234,12179.929688,12179.929688,101037000
2019-05-09,12098.019531,12125.959961,11957.309570,11973.919922,11973.919922,109425400
2019-05-10,12105.280273,12140.610352,12009.750000,12059.830078,12059.830078,142098700
2019-05-13,12044.099609,12052.929688,11844.469727,11876.650391,11876.650391,110572100
2019-05-14,11908.769531,11991.830078,11897.929688,11991.620117,11991.620117,106200000
2019-05-15,12018.450195,12099.570313,11862.209961,12099.570313,12099.570313,125835700
2019-05-16,12077.360352,12310.370117,12030.299805,12310.370117,12310.370117,109001200
2019-05-17,12252.679688,12270.889648,12150.330078,12238.940430,12238.940430,104474100
2019-05-20,12226.849609,12246.500000,11993.910156,12041.290039,12041.290039,105412700
2019-05-21,12111.799805,12178.250000,12066.900391,12143.469727,12143.469727,90829900
2019-05-22,12141.459961,12211.030273,12055.500000,12168.740234,12168.740234,87115400
2019-05-23,12064.290039,12082.750000,11926.339844,11952.410156,11952.410156,118104500
2019-05-24,12027.309570,12082.049805,11990.790039,12011.040039,12011.040039,82359600
2019-05-27,12077.879883,12124.549805,12050.490234,12071.179688,12071.179688,43767900
2019-05-28,12100.389648,12113.309570,11992.410156,12027.049805,12027.049805,121297400
2019-05-29,11906.019531,11927.639648,11828.750000,11837.809570,11837.809570,90848600
2019-05-30,11885.070313,11924.660156,11858.290039,11902.080078,11902.080078,47889500
2019-05-31,11742.209961,11755.120117,11662.070313,11726.839844,11726.839844,98490800
2019-06-03,11661.120117,11793.629883,11620.639648,11792.809570,11792.809570,104353700
2019-06-04,11716.549805,11987.889648,11713.870117,11971.169922,11971.169922,107666100
2019-06-05,11981.179688,12057.730469,11928.870117,11980.809570,11980.809570,81806600
2019-06-06,11987.919922,12076.950195,11899.820313,11953.139648,11953.139648,89561100
2019-06-07,12003.919922,12096.610352,11987.169922,12045.379883,12045.379883,80549900
2019-06-11,12133.599609,12227.400391,12117.339844,12155.809570,12155.809570,95140700
2019-06-12,12093.980469,12132.280273,12068.110352,12115.679688,12115.679688,69957400
2019-06-13,12095.209961,12201.780273,12079.599609,12169.049805,12169.049805,69172100
2019-06-14,12124.360352,12136.650391,12049.759766,12096.400391,12096.400391,70037500
2019-06-17,12112.469727,12124.679688,12059.919922,12085.820313,12085.820313,84991300
2019-06-18,12069.370117,12358.000000,11987.549805,12331.750000,12331.750000,153990400
2019-06-19,12321.429688,12346.700195,12291.190430,12308.530273,12308.530273,104190600
2019-06-20,12409.580078,12438.370117,12355.389648,12355.389648,12355.389648,95166000
2019-06-21,12351.980469,12425.200195,12316.410156,12339.919922,12339.919922,210689700
2019-06-24,12308.110352,12341.559570,12250.709961,12274.570313,12274.570313,89756300
2019-06-25,12226.879883,12284.570313,12213.410156,12228.440430,12228.440430,73907200
2019-06-26,12210.519531,12315.839844,12189.490234,12245.320313,12245.320313,87524700
2019-06-27,12308.259766,12334.570313,12209.339844,12271.030273,12271.030273,85035600
2019-06-28,12302.769531,12408.219727,12297.629883,12398.799805,12398.799805,99449300
2019-07-01,12616.339844,12619.679688,12519.299805,12521.379883,12521.379883,93740000
2019-07-02,12546.929688,12548.219727,12484.259766,12526.719727,12526.719727,68934500
2019-07-03,12548.299805,12631.809570,12545.790039,12616.240234,12616.240234,70392700
2019-07-04,12644.349609,12656.049805,12616.290039,12629.900391,12629.900391,54651300
2019-07-05,12632.120117,12632.120117,12522.110352,12568.530273,12568.530273,79900200
2019-07-08,12541.179688,12587.440430,12507.719727,12543.509766,12543.509766,91084400
2019-07-09,12436.969727,12477.580078,12364.160156,12436.549805,12436.549805,105796900
2019-07-10,12412.990234,12448.809570,12356.799805,12373.410156,12373.410156,80443400
2019-07-11,12401.019531,12417.929688,12307.339844,12332.120117,12332.120117,78192200
2019-07-12,12318.500000,12354.870117,12304.980469,12323.320313,12323.320313,78381800
2019-07-15,12346.589844,12434.139648,12301.080078,12387.339844,12387.339844,70764100
2019-07-16,12392.190430,12465.190430,12366.969727,12430.969727,12430.969727,75136100
2019-07-17,12429.870117,12453.330078,12324.330078,12341.030273,12341.030273,72857800
2019-07-18,12194.330078,12296.299805,12172.589844,12227.849609,12227.849609,73275500
2019-07-19,12302.639648,12340.110352,12211.669922,12260.070313,12260.070313,77803200
2019-07-22,12243.580078,12346.019531,12236.700195,12289.400391,12289.400391,58508700
2019-07-23,12384.660156,12531.160156,12369.190430,12490.740234,12490.740234,94402100
2019-07-24,12510.519531,12550.339844,12476.549805,12522.889648,12522.889648,93206200
2019-07-25,12576.019531,12599.929688,12299.099609,12362.099609,12362.099609,115937000
2019-07-26,12363.860352,12428.049805,12356.150391,12419.900391,12419.900391,71108800
2019-07-29,12398.290039,12473.969727,12387.580078,12417.469727,12417.469727,64309600
2019-07-30,12398.240234,12404.509766,12115.280273,12147.240234,12147.240234,114710200
2019-07-31,12149.089844,12226.490234,12139.030273,12189.040039,12189.040039,91199000
2019-08-01,12134.709961,12254.030273,12129.330078,12253.150391,12253.150391,87758900
2019-08-02,12033.679688,12034.910156,11836.750000,11872.440430,11872.440430,138678400
2019-08-05,11758.440430,11797.519531,11628.570313,11658.509766,11658.509766,113784300
2019-08-06,11690.269531,11748.830078,11567.959961,11567.959961,11567.959961,86220300
2019-08-07,11636.339844,11747.740234,11559.759766,11650.150391,11650.150391,108829300
2019-08-08,11752.959961,11845.410156,11683.990234,11845.410156,11845.410156,101153300
2019-08-09,11806.820313,11865.629883,11674.110352,11693.799805,11693.799805,107173100
2019-08-12,11801.059570,11836.969727,11647.009766,11679.679688,11679.679688,76120900
2019-08-13,11632.849609,11835.879883,11539.629883,11750.129883,11750.129883,116609400
2019-08-14,11758.750000,11759.570313,11459.370117,11492.660156,11492.660156,106028900
2019-08-15,11522.459961,11530.009766,11266.480469,11412.669922,11412.669922,116680900
2019-08-16,11460.650391,11578.839844,11447.339844,11562.740234,11562.740234,114055600
2019-08-19,11679.719727,11759.000000,11625.669922,11715.370117,11715.370117,78455800
2019-08-20,11711.780273,11764.929688,11618.929688,11651.179688,11651.179688,68833300
2019-08-21,11673.660156,11824.660156,11673.370117,11802.849609,11802.849609,62803500
2019-08-22,11756.209961,11853.139648,11715.259766,11747.040039,11747.040039,74446100
2019-08-23,11805.480469,11823.120117,11611.509766,11611.509766,11611.509766,90301100
2019-08-26,11619.660156,11696.780273,11551.990234,11658.040039,11658.040039,54752500
2019-08-27,11638.509766,11778.620117,11616.089844,11730.019531,11730.019531,82363700
2019-08-28,11704.669922,11717.790039,11573.639648,11701.019531,11701.019531,59962600
2019-08-29,11686.839844,11853.910156,11661.730469,11838.879883,11838.879883,72992700
2019-08-30,11850.299805,11989.440430,11845.160156,11939.280273,11939.280273,77686500
2019-09-02,11939.990234,11994.110352,11929.910156,11953.780273,11953.780273,46207600
2019-09-03,11921.940430,11956.690430,11869.280273,11910.860352,11910.860352,66704200
2019-09-04,12043.959961,12078.400391,11999.830078,12025.040039,12025.040039,63323800
2019-09-05,12117.900391,12151.309570,12084.169922,12126.780273,12126.780273,89831600
2019-09-06,12146.000000,12205.099609,12131.290039,12191.730469,12191.730469,80411000
2019-09-09,12210.870117,12245.110352,12189.599609,12226.099609,12226.099609,74246100
2019-09-10,12210.879883,12292.139648,12179.879883,12268.709961,12268.709961,107899800
2019-09-11,12341.839844,12394.280273,12317.610352,12359.070313,12359.070313,90579200
2019-09-12,12399.400391,12471.830078,12311.809570,12410.250000,12410.250000,111214300
2019-09-13,12412.719727,12494.250000,12408.929688,12468.530273,12468.530273,90990500
